Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
ACAD-1000,Acadia National Park,Mammal,Artiodactyla,Cervidae,Alces alces,Moose,Approved,Present,Native,Rare,Resident,Not Listed
ACAD-1001,Acadia National Park,Mammal,Artiodactyla,Cervidae,Odocoileus virginianus,"Northern White-Tailed Deer, Virginia Deer, White-Tailed Deer",Approved,Present,Native,Abundant,Unknown,Not Listed
ACAD-1002,Acadia National Park,Mammal,Carnivora,Canidae,Canis latrans,"Coyote, Eastern Coyote",Approved,Present,Not Native,Common,Unknown,Species of Concern
ACAD-1003,Acadia National Park,Mammal,Carnivora,Canidae,Canis lupus,"Eastern Timber Wolf, Gray Wolf, Timber Wolf",Approved,Not Confirmed,Native,Unknown,Unknown,Endangered
ACAD-1004,Acadia National Park,Mammal,Carnivora,Canidae,Vulpes vulpes,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox",Approved,Present,Unknown,Common,Breeder,Not Listed
ACAD-1005,Acadia National Park,Mammal,Carnivora,Felidae,Lynx canadensis,Canada Lynx,Approved,Not Confirmed,Native,Unknown,Unknown,Not Listed
ACAD-1006,Acadia National Park,Mammal,Carnivora,Felidae,Lynx rufus,"Bay Lynx, Bobcat, Red Lynx, Wild Cat",Approved,Not Present (Historical Report),Not Native,Unknown,Vagrant,Not Listed
ACAD-1007,Acadia National Park,Mammal,Carnivora,Mephitidae,Mephitis mephitis,"Eastern Skunk, Polecat, Striped Skunk",Approved,Not Present (Historical Report),Native,Unknown,Unknown,Not Listed
ACAD-1008,Acadia National Park,Mammal,Carnivora,Mustelidae,Lutra canadensis,"Otter, River Otter",Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1009,Acadia National Park,Mammal,Carnivora,Mustelidae,Martes pennanti,"Blackcat, Fisher, Pekan",Approved,Present,Native,Rare,Unknown,Not Listed
ACAD-1010,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela,Weasel,In Review,Not Confirmed,Unknown,Unknown,Unknown,Not Listed
ACAD-1011,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela erminea,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-Tailed Weasel",Approved,Present,Native,Uncommon,Unknown,Not Listed
ACAD-1012,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela frenata,"Long-Tailed Weasel, New York Weasel, Northern Long-Tailed Weasel",Approved,Present,Native,Uncommon,Unknown,Not Listed
ACAD-1013,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela macrodon,"Ancient Sea Mink, Big Sea Mink, Sea Mink",Approved,Not Confirmed,Native,Unknown,Unknown,Not Listed
ACAD-1014,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela vison,"American Mink, Mink",Approved,Present,Native,Uncommon,Unknown,Not Listed
ACAD-1015,Acadia National Park,Mammal,Carnivora,Odobenidae,Odobenus rosmarus,Walrus,Approved,Not Confirmed,Not Native,Unknown,Unknown,Not Listed
ACAD-1016,Acadia National Park,Mammal,Carnivora,Phocidae,Halichoerus grypus,Gray Seal,Approved,Not Confirmed,Native,Unknown,Unknown,Not Listed
ACAD-1017,Acadia National Park,Mammal,Carnivora,Phocidae,Phoca vitulina,"Common Seal, Hair Seal, Harbor Seal",Approved,Not Confirmed,Native,Unknown,Unknown,Not Listed
ACAD-1018,Acadia National Park,Mammal,Carnivora,Procyonidae,Procyon lotor,"Common Raccoon, Raccoon",Approved,Present,Native,Common,Unknown,Not Listed
ACAD-1019,Acadia National Park,Mammal,Carnivora,Ursidae,Ursus americanus,Black Bear,Approved,Present,Native,Occasional,Unknown,Not Listed
ACAD-1020,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,"Big Brown Bat, Common Brown Bat",Approved,Present,Native,Uncommon,Unknown,Species of Concern
ACAD-1021,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasionycteris noctivagans,Silver-Haired Bat,Approved,Present,Native,Unknown,Unknown,Species of Concern
ACAD-1022,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus borealis,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat",Approved,Present,Native,Occasional,Migratory,Not Listed
ACAD-1023,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus cinereus,Hoary Bat,Approved,Present,Native,Unknown,Unknown,Not Listed
ACAD-1024,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis keenii,"Keen's Myotis, Northern Long-Eared Bat, Northern Myotis, Say's Bat",Approved,Present,Native,Common,Unknown,Species of Concern
